Line-number,x-coord,y-coord,width
0,-179665.7578927243,-2277809.2163752932,5667.1665535199054
0,-179560.53756398722,-2277916.0908448575,5803.3611896978591
0,-179457.03215990766,-2278024.5723486389,5688.9886590740234
0,-179355.58210670817,-2278134.943794711,5525.6551130297621
0,-179256.49517246775,-2278247.4569763658,5404.9498010585385
0,-179160.02987577778,-2278362.3187656486,5406.141387212484
0,-179065.61954910384,-2278478.825462155,5588.5264234893648
0,-178973.20675536507,-2278596.9029938718,5811.7343600689073
0,-178882.73212017264,-2278716.4850873468,6253.7096255161359
0,-178794.09513940456,-2278837.4734123494,6862.9246550953067
0,-178706.24813389822,-2278959.054911782,7569.698467374772
0,-178618.32994354572,-2279080.5852274387,8299.3111931494786
0,-178529.82184512887,-2279201.6797593455,9178.6957903954208
0,-178440.56312778618,-2279322.2168539348,9689.7534396315878
0,-178350.15036781545,-2279441.88251128,10169.044591854175
0,-178258.39547930646,-2279560.5197875309,10330.893042793386
0,-178165.31593477388,-2279678.1307018995,9967.0352652853853
0,-178070.39063959289,-2279794.2184681934,9603.6615234358942
0,-177973.43575580817,-2279908.5851506917,9632.9239433995572
0,-177874.43133707336,-2280021.1703139846,10359.170906375484
0,-177773.44886214909,-2280132.0093083377,11598.74228134129
0,-177670.57352716572,-2280241.1486805296,13681.267456446099
0,-177565.16517051769,-2280347.7004957856,15748.333484535233
0,-177456.6301683049,-2280450.9259575084,18354.037310694395
0,-177345.02118153518,-2280550.8147746949,20731.566173669249
0,-177230.44244387542,-2280647.4120034804,22674.510781496057
0,-177112.77947870069,-2280740.2489460278,24852.496190984773
0,-176990.95107709666,-2280826.7241896335,26796.246620849928
0,-176864.84304198911,-2280906.5823463383,28758.862006741274
0,-176734.51588240927,-2280979.8243128257,30513.33846596783
0,-176600.11574018642,-2281046.0719440742,32270.599941293207
0,-176462.20476144904,-2281102.1367093287,34068.623470294704
0,-176320.67502879808,-2281147.6331247017,35989.76328054101
0,-176175.38084306361,-2281182.0804094695,37572.20463972813
0,-176027.9091653901,-2281204.2382544749,39144.511652756781
0,-175879.90709483181,-2281212.9993213401,40159.132007353241
0,-175731.371938931,-2281208.060001649,40213.024597305855
0,-175582.554844603,-2281189.9173553414,39625.513384127502
0,-175435.27273937414,-2281164.2357113771,38638.593860939516
0,-175289.47022732146,-2281131.2435640204,37550.526742086069
0,-175145.08433078107,-2281091.1865226519,36353.982407881063
0,-175001.5490817299,-2281047.7792976527,35595.990977468085
0,-174858.66586977348,-2281002.3395341281,34914.553420037875
0,-174716.43321349623,-2280954.8447317323,35025.841985867482
0,-174574.64293204949,-2280905.9195353929,35121.950946093901
0,-174432.62845793934,-2280857.6500400789,35692.075201838772
0,-174290.39549694504,-2280810.0241702199,36040.502872818033
0,-174147.94990024946,-2280763.0295288628,36077.41105122173
0,-174004.79195414396,-2280718.4540035683,36303.985485057638
0,-173860.75523273894,-2280676.9144043988,36498.50440021426
0,-173715.87404421985,-2280638.3025349816,37640.062181145906
0,-173570.15997870345,-2280602.9459691844,39774.973894892617
0,-173423.55448523303,-2280572.2177137276,41903.915468316867
0,-173276.0460591258,-2280546.1506783059,44050.405656525429
0,-173127.62437587674,-2280524.7766443007,46202.485011446784
0,-172978.73090656148,-2280507.9312119451,48337.928242679685
0,-172829.45199049401,-2280495.6011569663,50023.63231100596
0,-172679.7782853854,-2280487.83492675,51298.588195224271
0,-172529.88964352585,-2280483.8471768028,53200.470188121057
0,-172379.99539764869,-2280482.7204138814,55255.913126060914
0,-172230.09435809206,-2280484.495366476,56356.128969934063
0,-172080.18803466618,-2280488.8285401613,56601.444459410312
0,-171930.28347556727,-2280493.2002679468,55891.945548449679
0,-171780.38071860329,-2280497.61187365,54650.716522330738
0,-171630.47980293285,-2280502.0647277846,53179.062212706602
0,-171480.61022416034,-2280503.8039722387,52016.07290148949
0,-171330.77780582532,-2280502.0609497307,49970.829508768089
0,-171180.98383655163,-2280496.7444014805,47538.488241406376
0,-171031.43527942259,-2280487.2480066088,44959.525700843602
0,-170882.37920650831,-2280472.9081689883,42253.437662103956
0,-170733.83317981655,-2280453.6634670352,40435.876751167969
0,-170585.85753148698,-2280429.5288122641,39666.394660505663
0,-170438.77250786984,-2280401.0429931325,39266.666330629087
0,-170292.59953325355,-2280368.1988357534,39416.478623986033
0,-170147.36125481743,-2280331.0084704524,39881.444725256377
0,-170002.90933011431,-2280290.7663239487,40306.874304718469
0,-169859.17463938365,-2280248.0471118079,40087.337998514908
0,-169716.15034332342,-2280202.9300748957,40339.736864799248
0,-169573.69176679579,-2280155.9799101693,39956.895518784215
0,-169431.39404583737,-2280108.5535342973,39481.955090338808
0,-169289.25131446467,-2280060.6694073137,38813.21262081663
0,-169147.25698423194,-2280012.3481674199,38388.020683302617
0,-169005.1277675654,-2279964.4567676024,38998.617530744414
0,-168862.75894280447,-2279917.3007292966,40922.785298069117
0,-168720.15243825878,-2279870.8565974175,43400.858195692497
0,-168577.2222311236,-2279825.4538759342,46087.269525939468
0,-168433.62367635081,-2279782.4151000362,49165.873749708036
0,-168289.33406098353,-2279741.7413983149,52338.754748606552
0,-168144.3208688286,-2279703.48540167,55428.417991413429
0,-167998.47075658088,-2279669.1526354295,58128.81414097063
0,-167851.72450495802,-2279639.3157030782,60192.016190616829
0,-167704.03989845677,-2279614.089528027,61442.78691060104
0,-167555.56840974878,-2279593.3407149287,61831.739040670145
0,-167406.70567526121,-2279576.6243264582,61438.813860076822
0,-167257.42173288879,-2279564.0905982559,60459.631671306073
0,-167107.68999156242,-2279555.8974102875,59297.697961224752
0,-166957.87752038453,-2279550.2139389776,58594.843532902923
0,-166807.99884196045,-2279547.0155943204,59264.884361298675
0,-166658.05008052476,-2279546.3756743483,59045.076759539996
0,-166508.07431477532,-2279547.0086161164,58853.928724228143
0,-166358.09987628084,-2279548.0836056769,58577.420089791231
0,-166208.1268419566,-2279549.6083683497,58049.900301848036
0,-166058.15433096199,-2279551.1623366601,57970.51415702184
0,-165908.17968462256,-2279551.6347267986,58439.057674801312
0,-165758.20275483228,-2279551.0050849821,58775.414575460272
0,-165608.22357535426,-2279549.2547101183,58945.523553874998
0,-165458.2701295726,-2279546.3853670056,59236.356272821657
0,-165308.34472289469,-2279542.3780970168,59492.964982116828
0,-165158.44824728809,-2279537.2125687138,59779.405202184193
0,-165008.57559225059,-2279531.2862595608,60068.500091457085
0,-164858.7233161141,-2279524.8584648077,60318.382163351183
0,-164708.89172130293,-2279517.9270623345,60494.575924810815
0,-164559.08247677621,-2279510.4937708154,60638.326294583472
0,-164409.29951602934,-2279502.565172283,60806.731049654401
0,-164259.54318958614,-2279494.1390576106,60880.607103843249
0,-164109.81386479051,-2279485.213369865,60944.110534323372
0,-163960.12610233179,-2279475.6777504827,61106.811812452303
0,-163810.48250901888,-2279465.5062925266,61242.886265010253
0,-163660.88492440988,-2279454.6782466006,61424.472730919209
0,-163511.40946034002,-2279442.4953786014,61773.767690264598
0,-163362.11143458312,-2279428.463623757,62182.856168257051
0,-163212.99762893296,-2279412.5382401538,63023.583603984924
0,-163064.11845155008,-2279394.5261622905,64153.944828891523
0,-162915.61626041817,-2279373.9280838966,65380.69810929869
0,-162767.50975717351,-2279350.6612311434,66489.979822691661
0,-162619.82047606629,-2279324.6334265871,67321.003135826322
0,-162472.66912738123,-2279295.8857912426,67752.898677662175
0,-162326.09985508068,-2279264.3391906093,68269.691983670986
0,-162180.14729692714,-2279229.8898021597,66921.326323032452
0,-162034.86914309298,-2279192.6670419485,67232.048801743585
0,-161890.32232372108,-2279152.8305532713,68212.623698790994
0,-161746.54036462013,-2279110.3235611911,69091.404628050994
0,-161603.5599453355,-2279065.0944955312,69498.845206250669
0,-161461.48448313089,-2279017.2497236715,69168.539935458626
0,-161320.38383372413,-2278966.6554716732,67873.107121290202
0,-161180.33100155092,-2278913.1763092331,65711.425484196603
0,-161041.29562385834,-2278857.0620175307,62824.845994369723
0,-160903.22937579258,-2278798.6088824756,59210.225919032353
0,-160766.18284705197,-2278737.7471711631,55126.86745542672
0,-160630.18681965041,-2278674.4775455315,50883.462866068607
0,-160494.86474279303,-2278609.8172634309,46727.050022280346
0,-160360.24506846871,-2278543.7482544649,43411.933277786295
0,-160226.40588324144,-2278476.1378435637,41132.121643492719
0,-160093.37716007174,-2278406.9489935474,40056.821148327384
0,-159960.97522831435,-2278336.5557161886,40135.822647817724
0,-159829.22144885838,-2278264.9242647532,41076.776720384652
0,-159698.13529373315,-2278192.0248974049,42365.410749141629
0,-159567.66564762537,-2278118.0604888042,43533.828643039022
0,-159437.72123089051,-2278043.2274656836,42532.557922713844
0,-159308.36599782383,-2277967.4149896805,42812.685846371452
0,-159179.66763633685,-2277890.5055801333,43096.728718023936
0,-159051.63523385298,-2277812.4670742173,43310.89671630667
0,-158924.18071997145,-2277733.4331330196,43515.163842108392
0,-158797.17539260376,-2277653.6310179513,43689.164838979777
0,-158670.34682853252,-2277573.5617304547,43816.048607502758
0,-158543.94133207679,-2277492.8393750382,43892.493116848091
0,-158418.21674282089,-2277411.0758606694,43927.490115344204
0,-158293.28069312833,-2277328.1161235925,43939.057174135887
0,-158169.23929579812,-2277243.8076598789,45779.686261860843
0,-158045.86707636341,-2277158.490671061,44705.626652862898
0,-157922.87674186696,-2277072.6412364775,42590.834001031828
